id,name,reason
1password,1Password,site_unreachable
activecampaign,ActiveCampaign,site_unreachable
adobe-creative-cloud,Adobe Creative Cloud,site_unreachable
airtable,Airtable,site_unreachable
amazon-web-services-aws,Amazon Web Services (AWS),site_unreachable
amplitude,Amplitude,site_unreachable
asana,Asana,site_unreachable
atlassianconfluence,Atlassian Confluence,site_unreachable
atlassianjira,Atlassian Jira,site_unreachable
auth0,Auth0,site_unreachable
bamboohr,BambooHR,site_unreachable
basecamp,Basecamp,site_unreachable
bitbucket-cloud,Bitbucket Cloud,site_unreachable
box,Box,site_unreachable
braze,Braze,site_unreachable
calendly,Calendly,site_unreachable
canva,Canva,site_unreachable
circleci,CircleCI,site_unreachable
cisco-webex,Cisco Webex,site_unreachable
citrix-sharefile,Citrix ShareFile,site_unreachable
clickup,ClickUp,site_unreachable
coursera-for-business,Coursera for Business,site_unreachable
crowdstrike,CrowdStrike,site_unreachable
databricks,Databricks,site_unreachable
datadog,Datadog,site_unreachable
deel,Deel,site_unreachable
docker-hub,Docker Hub,site_unreachable
docusign,DocuSign,site_unreachable
dropbox,Dropbox,site_unreachable
figma,Figma,site_unreachable
freshdesk,Freshdesk,site_unreachable
freshservice,Freshservice,site_unreachable
github,GitHub,site_unreachable
gitlab,GitLab,site_unreachable
gong,Gong,site_unreachable
googleworkspace,Google Workspace,site_unreachable
grammarly,Grammarly,site_unreachable
greenhouse,Greenhouse,site_unreachable
gusto,Gusto,site_unreachable
hootsuite,Hootsuite,site_unreachable
hubspot,HubSpot,site_unreachable
lark,Lark,site_unreachable
linear,Linear,site_unreachable
linkedin-learning,LinkedIn Learning,site_unreachable
loom,Loom,site_unreachable
marketo,Marketo,site_unreachable
microsoft-teams,Microsoft Teams,site_unreachable
miro,Miro,site_unreachable
mixpanel,Mixpanel,site_unreachable
navan,Navan,site_unreachable
new-relic,New Relic,site_unreachable
notion,Notion,site_unreachable
outreach,Outreach,site_unreachable
pagerduty,PagerDuty,site_unreachable
pandadoc,PandaDoc,site_unreachable
pipedrive,Pipedrive,site_unreachable
pluralsight,Pluralsight,site_unreachable
postman,Postman,site_unreachable
qualtrics,Qualtrics,site_unreachable
quickbooks-online,QuickBooks Online,site_unreachable
ramp,Ramp,site_unreachable
ringcentral,RingCentral,site_unreachable
rippling,Rippling,site_unreachable
salesforce,Salesforce,site_unreachable
servicenow,ServiceNow,site_unreachable
shortcut,Shortcut,site_unreachable
slack,Slack,site_unreachable
smartsheet,Smartsheet,site_unreachable
snowflake,Snowflake,site_unreachable
snyk,Snyk,site_unreachable
splunk,Splunk,site_unreachable
sprout-social,Sprout Social,site_unreachable
surveymonkey,SurveyMonkey,site_unreachable
tableau,Tableau,site_unreachable
teamviewer,TeamViewer,site_unreachable
trello,Trello,site_unreachable
twilio,Twilio,site_unreachable
typeform,Typeform,site_unreachable
uber-for-business,Uber for Business,site_unreachable
udemy-business,Udemy Business,site_unreachable
workday,Workday,site_unreachable
wrike,Wrike,site_unreachable
zapier,Zapier,site_unreachable
zendesk,Zendesk,site_unreachable
zoho-crm,Zoho CRM,site_unreachable
zoominfo,ZoomInfo,site_unreachable
zscaler,Zscaler,site_unreachable
monday-com,monday.com,site_unreachable
expensify,Expensify,http_error
netsuite,NetSuite,http_error
