id,name,website,http_status,sso,scim,mfa,soc2,iso27001,error
surveymonkey,SurveyMonkey,https://www.surveymonkey.com,200,True,False,True,False,False,
tableau,Tableau,https://www.tableau.com,403,False,False,False,False,False,
teamviewer,TeamViewer,https://www.teamviewer.com,503,False,False,False,False,False,
trello,Trello,https://trello.com,200,True,False,True,False,False,
twilio,Twilio,https://www.twilio.com,200,False,False,True,False,False,
typeform,Typeform,https://www.typeform.com,200,True,False,False,False,False,
uber-for-business,Uber for Business,https://www.uber.com/business,406,False,False,False,False,False,
udemy-business,Udemy Business,https://business.udemy.com,403,False,False,False,False,False,
workday,Workday,https://www.workday.com,200,True,False,True,False,False,
wrike,Wrike,https://wrike.com,200,True,False,True,False,False,
xero,Xero,https://www.xero.com,200,True,False,False,False,False,
zapier,Zapier,https://zapier.com,503,False,False,False,False,False,
zendesk,Zendesk,https://zendesk.com,200,True,False,False,False,False,
zoho-crm,Zoho CRM,https://www.zoho.com/crm,200,True,False,False,False,False,
zoom,Zoom,https://zoom.us,200,True,False,False,False,False,
zoominfo,ZoomInfo,https://www.zoominfo.com,200,True,True,True,False,False,
zscaler,Zscaler,https://www.zscaler.com,200,True,False,True,False,False,
